id,date,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,activity_0_response,activity_2_response,alone_0_response,burden_1_response,control_1_response,demands_1_response,energy_9_response,excite_14_response,family_1_response,fatigue_13_response,feel_eat_1_response,feel_exer_1_response,feel_sit_1_response,focus_3_response,friend_1_response,frust_12_response,happy_8_response,hunger_0_response,int_eat_1_response,int_exer_3_response,int_sed_1_response,nervous_4_response,pain_0_response,proc_4_response,prod_0_response,relax_10_response,routine_0_response,sad_7_response,sleep_0_response,stress_2_response,tense_11_response,tired_1_response
reliablydetaildebate,2021-06-11,,,56780.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-12,,,16120.0,74.0,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-13,,,19660.0,65.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-14,,,32285.0,60.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-15,,,23399.0,44.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-16,,,30903.0,77.0,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-17,,,17558.0,50.0,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-18,,,35279.0,58.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-19,,,19993.0,83.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-20,,,16423.0,58.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-21,,,25220.0,63.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-22,,,33129.0,62.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-23,,,20525.0,37.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-24,,,22370.0,50.0,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-25,,,22632.0,58.0,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-26,,,5281.0,49.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-27,,,4798.0,64.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-28,,,19320.0,47.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-29,,,34788.0,53.0,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-06-30,2727.0011785755905,19.0,46304.0,68.0,337.0,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,
reliablydetaildebate,2021-07-01,4639.508661619087,347.0,21539.0,57.0,318.0,4.857142857142857,5.0,5.0,1.0,,2.0,2.5,,,,4.5,1.75,,3.0,,1.0,3.4,1.0,,,2.5,1.0,,2.5,4.666666666666667,,5.0,,,1.0,4.0,
reliablydetaildebate,2021-07-02,5463.831641317219,424.0,24313.0,53.0,212.0,4.8,4.5,5.0,1.0,,3.3333333333333335,4.0,,,,3.3333333333333335,,,5.0,,1.75,2.5,1.0,,2.5,,1.0,1.0,4.0,3.75,,4.5,,,1.0,2.7142857142857144,
reliablydetaildebate,2021-07-03,9772.21514996026,333.0,16785.0,72.0,201.0,3.6666666666666665,5.0,,,5.0,2.0,4.0,1.0,,,1.0,,,,,4.0,5.0,,,,5.0,,1.0,1.0,4.5,,3.5,,,4.0,2.5,4.0
reliablydetaildebate,2021-07-04,4147.511097225998,336.0,18146.0,98.0,,5.0,,,,4.75,1.6,1.0,1.0,1.0,,4.333333333333333,,,5.0,,4.0,2.5,,4.0,,,,1.0,,,,2.2,,5.0,,,4.6
reliablydetaildebate,2021-07-05,4097.362440140259,255.0,23756.0,85.0,,5.0,1.0,,,5.0,2.5,,,1.0,,,,,5.0,,4.0,,,4.0,,,2.0,,,,,4.0,,,,,4.0
reliablydetaildebate,2021-07-06,8633.044154527164,352.0,39717.0,87.0,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-07-07,6197.142160367783,561.0,24924.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-07-08,11449.529548101831,130.0,28796.0,79.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate,2021-07-09,6586.453358508968,508.0,27197.0,54.0,286.0,4.5,2.5,3.6666666666666665,,5.0,,,,,,4.5,2.0,,,,,4.0,,,,,1.0,1.0,,4.5,5.0,,,,,,
reliablydetaildebate,2021-07-10,6731.014397888826,366.0,26640.0,94.0,295.0,5.0,,1.0,,4.8,1.0,,,1.0,3.0,4.0,1.0,4.0,,,,4.0,1.0,2.75,,,1.0,1.0,,4.0,4.8,,,,1.75,,
reliablydetaildebate,2021-07-11,19385.39245525992,316.0,9851.0,106.0,236.0,5.0,4.75,,1.0,,1.0,3.3333333333333335,5.0,,,4.0,4.0,,,,1.0,,4.0,,5.0,,,,1.8,,5.0,,1.0,,,,
reliablydetaildebate,2021-07-12,4487.545454973983,466.0,29289.0,63.0,146.0,5.0,4.777777777777778,,1.0,,1.0,3.4,5.0,,,1.0,1.0,3.5,4.5,1.0,,,,4.25,5.0,,1.0,1.0,1.0,4.666666666666667,,,2.2,,,,4.75
reliablydetaildebate,2021-07-13,8987.13656836167,301.0,35895.0,73.0,307.0,5.0,4.0,,,,2.0,1.75,,1.0,,,,4.0,5.0,,,4.0,,4.0,4.0,,1.0,1.0,,5.0,5.0,4.333333333333333,,,,,4.5
